iso3c,country_name,city_name,city_code,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,recycling_pct,open_dump_pct,income_label
IRN,"Iran, Islamic Rep.",Tehran,tehr,LMIC,Mid. East & N. Africa,0.712,0.072,0.096,0.016,0.025,0.016,0.4,NA,Lower-Middle Income
IRQ,Iraq,Baghdad,bagd,UMIC,Mid. East & N. Africa,0.46,NA,0.145,NA,NA,0.395,NA,NA,Upper-Middle Income
IRL,Ireland,Dublin,dubl,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,High Income
IMN,Isle of Man,Douglas,doug,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.06,NA,High Income
ISR,Israel,Jerusalem,jeru,HIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,0.4,NA,High Income
ISR,Israel,Tel Aviv,tela,HIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,NA,High Income
ITA,Italy,Milano,mila,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.402007144859324,NA,High Income
ITA,Italy,Parma,parm,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.47317750777893,NA,High Income
ITA,Italy,Rome,rome,HIC,Eur. & Cent. Asia,0.34,0.09,0.33,0.1,NA,0.14,NA,NA,High Income
JPN,Japan,Tokyo,tkyo,HIC,E. Asia & Pacific,0.169867,0.191083,0.440205,0.030881,0.020065,0.021651,0.163946355290434,NA,High Income
JPN,Japan,Toyama,tyma,HIC,E. Asia & Pacific,0.295311464047758,0.183834463413518,0.321215393065209,0.0160569704261176,0.0222186361882842,0.116376529204454,0.0899182026821151,NA,High Income
JPN,Japan,Yokohama,ykhm,HIC,E. Asia & Pacific,0.297446117489481,0.13891380371943,0.338393777040979,0.0198624536489368,0.0227407254415988,0.0774166659804926,0.248986063345767,NA,High Income
JOR,Jordan,Amman,amma,LMIC,Mid. East & N. Africa,0.497,0.157,0.147,0.026,0.014,0.082,NA,NA,Lower-Middle Income
KAZ,Kazakhstan,Astana,asta,UMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.0177074458302901,NA,Upper-Middle Income
KAZ,Kazakhstan,Atyrau,atyr,UMIC,Eur. & Cent. Asia,0.336,0.168,0.25,0.057,0.034,0.155,0.0026,0.9851,Upper-Middle Income
KEN,Kenya,Eldoret,eldo,LMIC,Sub-Saharan Africa,0.253,0.098,0.044,0.058,0.048,0.257,NA,0.4,Lower-Middle Income
KEN,Kenya,Nairobi,nair,LMIC,Sub-Saharan Africa,0.51,0.1,0.1,0.05,0.01,0.12,0.15,0.5,Lower-Middle Income
KIR,Kiribati,South Tarawa,sout,LMIC,E. Asia & Pacific,0.6535,0.0618,0.1165,0.0117,0.0601,0.0639,0.01,NA,Lower-Middle Income
KOR,"Korea, Rep.",Seoul,seol,HIC,E. Asia & Pacific,0.239878,0.240427,0.138823,0.023575,0.019908,0.266344,0.398,NA,High Income
XKX,Kosovo,Gjilan,gjil,UMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
XKX,Kosovo,Pristina,prst,UMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
KWT,Kuwait,Kuwait City,kuwa,HIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,NA,High Income
KGZ,Kyrgyz Republic,Osh,bosh,LMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,0.8,Lower-Middle Income
