iso3c,country_name,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,open_dump_pct,recycling_pct,income_label
KAZ,Kazakhstan,UMIC,Eur. & Cent. Asia,0.3,0.25,0.25,0.05,0.03,0.1195,NA,0.111241154055525,Upper-Middle Income
KEN,Kenya,LMIC,Sub-Saharan Africa,0.588,0.138,0.113,NA,NA,0.083,NA,NA,Lower-Middle Income
KIR,Kiribati,LMIC,E. Asia & Pacific,0.6679,0.0573,0.0863,0.0239,0.1036,0.061,NA,0.00254166537091569,Lower-Middle Income
KOR,"Korea, Rep.",HIC,E. Asia & Pacific,0.242451590035731,0.241866573445551,0.127311192788871,0.0225972867185892,0.0182744899729814,0.255041152620927,NA,0.38431288808126,High Income
XKX,Kosovo,UMIC,Eur. & Cent. Asia,0.42,0.11,0.08,0.0657,0.0559,0.1281,NA,0.0259481037924152,Upper-Middle Income
KWT,Kuwait,HIC,Mid. East & N. Africa,0.47,0.2,0.2,0.035,0.015,0.05,NA,NA,High Income
KGZ,Kyrgyz Republic,LMIC,Eur. & Cent. Asia,0.32,0.21,0.01,0.1,0.005,0.35,NA,NA,Lower-Middle Income
LAO,Lao PDR,LMIC,E. Asia & Pacific,NA,NA,NA,NA,NA,NA,0.55,NA,Lower-Middle Income
LVA,Latvia,HIC,Eur. & Cent. Asia,0.330824424839993,0.114511676180592,0.162944819235426,0.112720982528974,0.030501297353399095,0.248496799861616,NA,0.360919540229885,High Income
LBN,Lebanon,LMIC,Mid. East & N. Africa,0.705,0.125,0.045,0.035,0.02,0.07,0.42,NA,Lower-Middle Income
LSO,Lesotho,NA,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBR,Liberia,NA,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,0.64,NA,NA
LBY,Libya,UMIC,Mid. East & N. Africa,0.701,0.075,0.055,0.031,0.043,0.057,0.67,NA,Upper-Middle Income
LIE,Liechtenstein,HIC,Eur. & Cent. Asia,0.3239,0.0488,0.2054,0.069,0.2672,0.0792,NA,0.522004626060139,High Income
LTU,Lithuania,HIC,Eur. & Cent. Asia,0.3018,0.1272,0.0632,0.0444,0.0168,0.3124,NA,0.265,High Income
LUX,Luxembourg,HIC,Eur. & Cent. Asia,0.315933821444853,0.0872257360153008,0.21975404397124,0.065633734848811,0.0160992620126731,0.231783172791838,NA,0.306948386418585,High Income
MAC,"Macao SAR, China",HIC,E. Asia & Pacific,0.38,0.218,0.251,0.037,0.039,0.024,NA,0.0128780096450208,High Income
MDG,Madagascar,LIC,Sub-Saharan Africa,0.4537,0.0579,0.0353,0.0076,0.0129,0.3979,NA,NA,Low Income
MWI,Malawi,LIC,Sub-Saharan Africa,0.82,0.07,0.04,0.03,0.01,0.03,NA,0.04,Low Income
MYS,Malaysia,UMIC,E. Asia & Pacific,0.36,0.24,0.09,0.02,0.02,0.23,NA,0.00123192419620067,Upper-Middle Income
MDV,Maldives,UMIC,S. Asia,0.574069112008613,0.0998046389718456,0.0743541150047988,0.0227612649261185,0.0288267133064732,0.0449866267824867,0.79,NA,Upper-Middle Income
MLI,Mali,NA,Sub-Saharan Africa,0.175,0.02,0.035,0.01,0.035,0.715,NA,NA,NA
MLT,Malta,HIC,Mid. East & N. Africa,0.356,0.17,0.157,0.069,0.044,0.123,NA,0.1212171964165,High Income
MHL,Marshall Islands,UMIC,E. Asia & Pacific,0.0826758633722304,0.204138517503661,0.233334908111683,0.0150706288089951,0.113573014598195,0.171682335711249,NA,NA,Upper-Middle Income
