iso3c,country_name,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,open_dump_pct,recycling_pct,income_label
SLE,Sierra Leone,NA,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGP,Singapore,HIC,E. Asia & Pacific,0.11010292524377,0.13556338028169,0.14409534127844,0.009886240520043341,0.193661971830986,0.285617551462622,NA,0.52,High Income
SXM,Sint Maarten (Dutch),HIC,L. Amer. & the Caribbean,0.257,0.117,0.163,0.117,0.096,0.037,0.9,0.1,High Income
SVK,Slovak Republic,HIC,Eur. & Cent. Asia,0.575092998159081,0.127808036564464,0.15024270509321,0.102641190037876,0.0291110687911297,0.0151040013542394,NA,0.204641224804295,High Income
SVN,Slovenia,HIC,Eur. & Cent. Asia,0.148587493894283,0.06719388047448,0.215857091273897,0.0511435520808284,0.0556775641194241,0.266013872189491,NA,0.460925586691394,High Income
SLB,Solomon Islands,LMIC,E. Asia & Pacific,0.622,0.103,0.037,0.029,0.129,0.037,NA,NA,Lower-Middle Income
SOM,"Somalia, Fed. Rep.",NA,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,South Africa,UMIC,Sub-Saharan Africa,0.300734986631602,0.0497015642623664,0.09871123806637108,0.122880352522273,0.180167802163041,0.247804056354346,NA,0.0837,Upper-Middle Income
SSD,South Sudan,NA,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,Spain,HIC,Eur. & Cent. Asia,0.07,0.09,0.15,0.08,0.03,0.09,NA,0.173501264780528,High Income
LKA,Sri Lanka,LMIC,S. Asia,0.62,0.06,0.07,0.02,NA,0.17,0.2481,NA,Lower-Middle Income
KNA,St. Kitts and Nevis,HIC,L. Amer. & the Caribbean,0.272,0.232,0.205,0.081,0.088,0.048,NA,NA,High Income
LCA,St. Lucia,UMIC,L. Amer. & the Caribbean,0.53,0.2,0.12,0.04,0.03,0.01,NA,NA,Upper-Middle Income
MAF,St. Martin (French),HIC,L. Amer. & the Caribbean,0.314,0.185,0.123,0.116,0.036,0.107,NA,NA,High Income
VCT,St. Vincent and the Grenadines,UMIC,L. Amer. & the Caribbean,0.3075,0.238,0.1849,0.045,0.0519,0.0841,NA,NA,Upper-Middle Income
